fig,panel,overhang,feed,n_rpm,ap_mm,ap_level_mm,ap_off_level,result,px,py,size
Fig10,top,35,x,7990,2.000,2.00,0,stable,259,200,61
Fig10,top,35,x,2990,1.000,1.00,0,stable,83,261,63
Fig10,top,35,x,5990,1.000,1.00,0,stable,188,261,62
Fig10,top,35,x,11990,4.000,4.00,0,chatter,399,78,60
Fig10,top,35,x,17960,3.000,3.00,0,chatter,609,139,72
Fig10,top,35,x,11990,3.000,3.00,0,chatter,399,139,65
Fig10,top,35,x,12980,3.000,3.00,0,chatter,434,139,66
Fig10,top,35,x,14980,3.000,3.00,0,chatter,504,139,69
Fig10,top,35,x,15980,3.000,3.00,0,chatter,540,139,69
Fig10,top,35,x,11980,2.000,2.00,0,chatter,399,200,63
Fig10,top,35,x,12980,2.000,2.00,0,chatter,434,200,65
Fig10,top,35,x,14970,2.000,2.00,0,chatter,504,200,64
Fig10,top,35,x,15980,2.000,2.00,0,chatter,540,200,67
Fig10,top,35,x,17970,2.000,2.00,0,chatter,610,200,68
Fig10,top,35,x,7990,1.000,1.00,0,chatter,259,261,62
Fig10,top,35,x,9980,1.000,1.00,0,chatter,328,261,68
Fig10,top,35,x,11980,1.000,1.00,0,chatter,399,261,62
Fig10,top,35,x,15980,1.000,1.00,0,chatter,540,261,72
Fig10,top,35,x,17970,1.000,1.00,0,chatter,610,261,68
Fig10,top,35,x,12980,1.000,1.00,0,chatter,434,262,59
Fig10,top,35,x,14970,1.000,1.00,0,chatter,504,262,59
Fig15,bot,65,x,11960,0.200,0.20,0,chatter,396,433,72
Fig15,bot,65,x,2990,0.200,0.20,0,chatter,79,433,64
Fig15,bot,65,x,4740,0.200,0.20,0,chatter,141,432,67
Fig15,bot,65,x,5980,0.200,0.20,0,chatter,185,433,63
Fig15,bot,65,x,6980,0.200,0.20,0,chatter,220,433,63
Fig15,bot,65,x,7990,0.200,0.20,0,chatter,256,433,74
Fig15,bot,65,x,9960,0.200,0.20,0,chatter,326,433,69
Fig15,bot,65,x,15970,0.200,0.20,0,chatter,539,433,67
Fig15,bot,65,x,17960,0.200,0.20,0,chatter,609,433,58
Fig15,bot,65,x,5980,0.100,0.10,0,chatter,185,489,77
Fig15,bot,65,x,3000,0.100,0.10,0,chatter,79,490,78
Fig15,bot,65,x,4750,0.100,0.10,0,chatter,141,489,56
Fig15,bot,65,x,6990,0.100,0.10,0,chatter,221,490,59
Fig15,bot,65,x,8000,0.100,0.10,0,chatter,256,490,59
Fig15,bot,65,x,9980,0.100,0.10,0,chatter,326,490,64
Fig15,bot,65,x,11990,0.100,0.10,0,chatter,397,490,57
Fig15,bot,65,x,15990,0.100,0.10,0,chatter,539,490,69
Fig15,bot,65,x,17970,0.100,0.10,0,chatter,609,490,64
Fig15,top,65,x,4740,3.200,3.20,0,chatter,141,50,64
Fig15,top,65,x,6970,3.200,3.20,0,chatter,220,50,69
Fig15,top,65,x,2990,3.200,3.20,0,chatter,79,51,69
Fig15,top,65,x,5970,3.200,3.20,0,chatter,184,50,52
Fig15,top,65,x,7990,3.200,3.20,0,chatter,256,51,64
Fig15,top,65,x,9970,3.200,3.20,0,chatter,326,51,61
Fig15,top,65,x,4740,2.000,2.00,0,chatter,141,152,58
Fig15,top,65,x,5970,2.000,2.00,0,chatter,185,152,69
Fig15,top,65,x,6980,2.000,2.00,0,chatter,220,152,64
Fig15,top,65,x,9950,2.000,2.00,0,chatter,325,153,71
Fig15,top,65,x,11970,2.000,2.00,0,chatter,397,152,64
Fig15,top,65,x,15970,2.000,2.00,0,chatter,538,152,68
Fig15,top,65,x,17960,2.000,2.00,0,chatter,609,152,69
Fig15,top,65,x,2990,2.000,2.00,0,chatter,79,152,68
Fig15,top,65,x,7980,2.000,2.00,0,chatter,256,153,53
Fig15,top,65,x,4740,1.200,1.10,0,chatter,141,220,64
Fig15,top,65,x,5970,1.100,1.10,0,chatter,185,220,69
Fig15,top,65,x,6980,1.100,1.10,0,chatter,220,220,64
Fig15,top,65,x,9960,1.100,1.10,0,chatter,326,220,60
Fig15,top,65,x,11970,1.100,1.10,0,chatter,397,220,64
Fig15,top,65,x,15970,1.100,1.10,0,chatter,538,220,70
Fig15,top,65,x,17960,1.100,1.10,0,chatter,609,220,63
Fig15,top,65,x,2990,1.100,1.10,0,chatter,79,220,68
Fig15,top,65,x,7980,1.100,1.10,0,chatter,256,220,52
Fig15,top,65,x,4750,0.300,0.30,0,chatter,141,287,72
Fig15,top,65,x,2990,0.300,0.30,0,chatter,79,288,59
Fig15,top,65,x,5970,0.300,0.30,0,chatter,185,288,57
Fig15,top,65,x,6970,0.300,0.30,0,chatter,220,288,69
Fig15,top,65,x,7980,0.300,0.30,0,chatter,256,288,68
Fig15,top,65,x,9960,0.300,0.30,0,chatter,326,288,68
Fig15,top,65,x,11970,0.300,0.30,0,chatter,397,288,68
Fig15,top,65,x,15970,0.300,0.30,0,chatter,538,288,58
Fig15,top,65,x,17960,0.300,0.30,0,chatter,609,288,62
Fig18,bot,65,y,2990,0.200,0.20,0,stable,79,433,65
Fig18,bot,65,y,4750,0.200,0.20,0,stable,141,433,63
Fig18,bot,65,y,6000,0.200,0.20,0,stable,186,433,61
Fig18,bot,65,y,6990,0.200,0.20,0,stable,221,433,62
Fig18,bot,65,y,17980,0.200,0.20,0,stable,610,433,60
Fig18,bot,65,y,4750,0.100,0.10,0,stable,141,490,64
Fig18,bot,65,y,6990,0.100,0.10,0,stable,221,490,64
Fig18,bot,65,y,9990,0.100,0.10,0,stable,327,490,65
Fig18,bot,65,y,17970,0.100,0.10,0,stable,609,490,63
Fig18,bot,65,y,8010,0.200,0.20,0,chatter,257,433,75
Fig18,bot,65,y,10000,0.200,0.20,0,chatter,327,433,62
Fig18,bot,65,y,11990,0.200,0.20,0,chatter,398,433,64
Fig18,bot,65,y,15990,0.200,0.20,0,chatter,539,433,70
Fig18,bot,65,y,5990,0.100,0.10,0,chatter,185,490,67
Fig18,bot,65,y,2990,0.100,0.10,0,chatter,79,490,75
Fig18,bot,65,y,7990,0.100,0.10,0,chatter,256,490,63
Fig18,bot,65,y,11990,0.100,0.10,0,chatter,398,490,62
Fig18,bot,65,y,15990,0.100,0.10,0,chatter,539,490,68
Fig18,top,65,y,2990,0.300,0.30,0,stable,79,288,64
Fig18,top,65,y,2990,3.200,3.20,0,chatter,79,50,62
Fig18,top,65,y,4760,3.200,3.20,0,chatter,142,50,68
Fig18,top,65,y,5990,3.200,3.20,0,chatter,185,50,62
Fig18,top,65,y,7000,3.200,3.20,0,chatter,221,50,61
Fig18,top,65,y,7990,3.200,3.20,0,chatter,256,51,64
Fig18,top,65,y,9980,3.200,3.20,0,chatter,326,51,59
Fig18,top,65,y,2990,2.000,2.00,0,chatter,79,150,66
Fig18,top,65,y,4760,2.000,2.00,0,chatter,142,152,68
Fig18,top,65,y,5990,2.000,2.00,0,chatter,185,152,64
Fig18,top,65,y,6990,2.000,2.00,0,chatter,221,152,70
Fig18,top,65,y,9960,2.000,2.00,0,chatter,326,153,71
Fig18,top,65,y,11990,2.000,2.00,0,chatter,397,152,69
Fig18,top,65,y,15980,2.000,2.00,0,chatter,539,152,61
Fig18,top,65,y,17980,2.000,2.00,0,chatter,609,152,62
Fig18,top,65,y,7990,2.000,2.00,0,chatter,256,152,68
Fig18,top,65,y,3000,1.100,1.10,0,chatter,79,220,63
Fig18,top,65,y,4740,1.200,1.20,0,chatter,141,220,68
Fig18,top,65,y,5980,1.100,1.10,0,chatter,185,220,63
Fig18,top,65,y,6980,1.200,1.20,0,chatter,220,220,63
Fig18,top,65,y,7980,1.100,1.10,0,chatter,256,220,64
Fig18,top,65,y,9960,1.100,1.10,0,chatter,326,220,64
Fig18,top,65,y,11970,1.200,1.20,0,chatter,397,220,68
Fig18,top,65,y,15970,1.100,1.10,0,chatter,538,220,67
Fig18,top,65,y,17960,1.100,1.10,0,chatter,609,220,58
Fig18,top,65,y,4760,0.300,0.30,0,chatter,142,288,73
Fig18,top,65,y,5990,0.300,0.30,0,chatter,185,288,63
Fig18,top,65,y,6990,0.300,0.30,0,chatter,221,288,69
Fig18,top,65,y,11990,0.300,0.30,0,chatter,398,288,68
Fig18,top,65,y,15990,0.300,0.30,0,chatter,539,288,66
Fig18,top,65,y,7990,0.300,0.30,0,chatter,256,289,69
Fig18,top,65,y,9970,0.300,0.30,0,chatter,326,288,60
Fig18,top,65,y,17980,0.300,0.30,0,chatter,609,288,58
