timestamp_s,laser_power_w,T1_cut_zone_c,T2_structure_c,T3_spindle_c
11.94,0,23.95,24.83,24.95
12.04,0,24.73,23.97,24.99
12.14,0,27.55,25.77,25.13
12.24,0,26.47,24.86,25.07
12.34,0,27.58,25.48,25.13
12.44,0,24.78,24.23,24.99
12.54,0,24.67,24.78,24.98
12.64,0,24.63,25.11,24.98
12.74,0,25.12,25.52,25.01
12.84,0,24.06,24.22,24.95
12.94,0,24.96,25.3,25.0
13.04,0,27.49,26.15,25.12
13.14,0,21.47,24.13,24.82
13.24,0,27.92,25.91,25.15
13.34,0,23.97,24.84,24.95
13.44,0,23.99,25.02,24.95
13.55,0,24.97,25.69,25.0
13.65,0,26.0,24.94,25.05
13.75,0,26.21,25.83,25.06
13.85,0,23.86,24.45,24.94
13.95,0,20.39,24.07,24.77
14.05,0,23.82,23.59,24.94
14.15,0,21.46,23.83,24.82
14.25,0,26.52,25.41,25.08
14.35,0,25.94,24.73,25.05
14.45,0,22.32,24.64,24.87
14.55,0,25.98,25.28,25.05
14.65,0,27.56,25.29,25.13
14.75,0,24.16,25.26,24.96
14.85,0,28.68,26.11,25.18
14.95,0,28.36,25.71,25.17
15.05,0,25.66,25.11,25.03
15.15,0,21.82,24.18,24.84
15.25,0,26.87,25.49,25.09
15.35,0,24.86,25.65,24.99
15.45,0,22.5,23.5,24.88
15.55,0,23.69,24.01,24.93
15.65,0,27.69,25.96,25.13
15.75,0,23.27,24.17,24.91
15.85,0,30.72,26.41,25.29
15.95,0,23.48,24.69,24.92
16.05,0,26.28,25.49,25.06
16.15,0,23.18,23.88,24.91
16.25,0,26.19,25.33,25.06
16.35,0,21.72,24.6,24.84
16.45,0,26.55,25.34,25.08
16.56,0,24.48,24.96,24.97
16.66,0,23.63,23.91,24.93
16.76,0,25.65,24.47,25.03
16.86,0,25.78,24.51,25.04
16.96,0,24.8,24.87,24.99
17.06,0,28.57,25.54,25.18
17.16,0,22.17,23.83,24.86
17.26,0,22.75,24.03,24.89
17.36,0,25.84,25.64,25.04
17.46,0,28.32,25.63,25.17
17.56,0,30.28,27.57,25.26
17.66,0,24.59,23.73,24.98
17.76,0,24.83,24.99,24.99
17.86,0,20.4,23.66,24.77
17.96,0,24.6,24.49,24.98
18.06,0,26.25,25.88,25.06
18.16,0,24.03,24.82,24.95
18.26,0,23.69,24.21,24.93
18.36,0,25.16,25.31,25.01
18.46,0,23.87,23.56,24.94
18.56,0,26.17,24.55,25.06
18.66,0,25.24,25.96,25.01
18.76,0,24.97,24.4,25.0
18.86,0,22.08,24.71,24.85
18.96,0,24.97,25.26,25.0
19.06,0,26.85,25.53,25.09
19.16,0,24.38,24.34,24.97
19.26,0,18.83,22.39,24.69
19.36,0,24.86,24.87,24.99
19.46,0,25.81,25.18,25.04
19.57,0,25.32,25.49,25.02
19.67,0,23.23,24.33,24.91
19.77,0,21.79,24.52,24.84
19.87,0,25.08,25.27,25.0
19.97,0,28.08,26.47,25.15
20.07,0,24.88,25.36,24.99
20.17,0,22.14,24.36,24.86
20.27,0,25.28,24.27,25.01
20.37,0,27.67,25.45,25.13
20.47,0,26.37,25.2,25.07
20.57,0,26.99,26.25,25.1
20.67,0,23.34,23.74,24.92
20.77,0,24.74,25.35,24.99
20.87,0,24.26,24.47,24.96
20.97,0,25.98,23.91,25.05
21.07,0,23.67,23.91,24.93
21.17,0,25.59,24.81,25.03
21.27,0,22.77,24.15,24.89
21.37,0,22.06,24.11,24.85
21.47,0,23.64,24.4,24.93
21.57,0,23.57,25.03,24.93
21.67,0,24.78,25.2,24.99
21.77,0,25.96,24.88,25.05
21.87,0,26.14,25.52,25.06
21.97,0,25.63,24.99,25.03
22.07,0,24.15,25.14,24.96
22.17,0,29.36,25.89,25.22
22.27,0,26.07,25.14,25.05
22.37,0,26.57,25.69,25.08
22.47,0,27.12,24.24,25.11
22.58,0,23.8,24.15,24.94
22.68,0,24.78,24.57,24.99
22.78,0,23.72,24.96,24.94
22.88,0,28.8,24.73,25.19
22.98,0,24.38,24.97,24.97
23.08,0,25.01,24.83,25.0
23.18,0,22.29,23.72,24.86
23.28,0,26.45,25.97,25.07
23.38,0,25.19,24.64,25.01
23.48,0,25.19,24.94,25.01
23.58,0,26.09,25.39,25.05
23.68,0,23.76,24.72,24.94
23.78,0,22.64,24.7,24.88
23.88,0,27.36,25.12,25.12
23.98,0,25.84,24.76,25.04
24.08,0,27.14,26.1,25.11
24.18,0,24.54,25.36,24.98
24.28,0,24.14,24.42,24.96
24.38,0,23.86,24.59,24.94
24.48,0,24.35,24.88,24.97
24.58,0,23.77,25.01,24.94
24.68,0,27.04,25.36,25.1
24.78,0,22.15,24.51,24.86
24.88,0,27.28,25.6,25.11
24.98,0,22.43,24.36,24.87
25.08,0,28.05,24.98,25.15
25.18,0,25.96,25.13,25.05
25.28,0,23.29,24.74,24.91
25.38,0,22.4,24.37,24.87
25.48,0,27.63,25.88,25.13
25.59,0,23.25,23.58,24.91
25.69,0,22.44,23.31,24.87
25.79,0,28.2,25.84,25.16
25.89,0,22.91,23.72,24.9
25.99,0,22.87,24.19,24.89
26.09,0,22.43,25.07,24.87
26.19,0,23.51,24.16,24.93
26.29,0,25.62,25.91,25.03
26.39,0,27.65,25.55,25.13
26.49,0,25.51,25.23,25.03
26.59,0,26.06,25.45,25.05
26.69,0,23.11,23.8,24.91
26.79,0,25.35,24.51,25.02
26.89,0,27.73,25.84,25.14
26.99,0,22.95,24.22,24.9
27.09,0,23.99,24.63,24.95
27.19,0,26.89,24.85,25.09
27.29,0,21.26,24.05,24.81
27.39,0,24.65,24.98,24.98
27.49,0,25.89,25.18,25.04
27.59,0,26.6,25.03,25.08
27.69,0,25.13,24.62,25.01
27.79,0,22.74,24.63,24.89
27.89,0,26.14,24.37,25.06
27.99,0,22.76,24.47,24.89
28.09,0,27.14,25.31,25.11
28.19,0,24.63,24.18,24.98
28.29,0,30.02,26.74,25.25
28.39,0,26.79,25.87,25.09
28.49,0,26.87,25.86,25.09
28.6,0,24.33,25.17,24.97
28.7,0,25.16,25.7,25.01
28.8,0,23.53,24.29,24.93
28.9,0,26.32,26.04,25.07
29.0,0,25.29,24.73,25.01
29.1,0,24.76,24.68,24.99
29.2,0,28.79,26.59,25.19
29.3,0,27.53,25.91,25.13
29.4,0,23.89,25.25,24.94
29.5,0,28.31,26.28,25.17
29.6,0,24.95,25.53,25.0
29.7,0,24.26,25.16,24.96
29.8,0,23.58,24.09,24.93
29.9,0,26.13,25.51,25.06
30.0,0,28.81,26.0,25.19
0.0,200,25.05,24.44,25.0
0.1,200,23.5,23.66,24.93
0.2,200,30.39,26.03,25.27
0.3,200,33.9,28.38,25.45
0.4,200,33.24,28.3,25.41
0.5,200,36.4,28.98,25.57
0.6,200,37.6,29.26,25.63
0.7,200,38.24,29.28,25.66
0.8,200,41.27,29.81,25.81
0.9,200,45.48,31.23,26.02
1.0,200,46.07,31.68,26.05
1.1,200,49.8,31.75,26.24
1.2,200,51.27,33.22,26.31
1.3,200,50.58,32.87,26.28
1.4,200,51.34,33.62,26.32
1.51,200,55.39,34.08,26.52
1.61,200,60.12,35.47,26.76
1.71,200,60.76,35.2,26.79
1.81,200,60.24,34.87,26.76
1.91,200,62.75,36.84,26.89
2.01,200,65.38,37.56,27.02
2.11,200,64.63,36.45,26.98
2.21,200,67.47,38.03,27.12
2.31,200,70.82,38.74,27.29
2.41,200,73.03,39.33,27.4
2.51,200,73.4,40.17,27.42
2.61,200,73.91,39.77,27.45
2.71,200,79.93,41.53,27.75
2.81,200,79.72,41.11,27.74
2.91,200,83.8,41.51,27.94
3.01,200,79.17,40.73,27.71
3.11,200,86.22,43.54,28.06
3.21,200,83.98,42.05,27.95
3.31,200,86.73,43.58,28.09
3.41,200,86.1,42.59,28.06
3.51,200,86.75,43.63,28.09
3.61,200,91.02,44.84,28.3
3.71,200,91.52,44.07,28.33
3.81,200,93.34,44.98,28.42
3.91,200,94.71,46.15,28.49
4.01,200,94.66,45.39,28.48
4.11,200,99.35,47.48,28.72
4.21,200,97.43,45.23,28.62
4.31,200,99.93,47.79,28.75
4.41,200,103.58,48.24,28.93
4.52,200,101.35,47.68,28.82
4.62,200,105.58,48.59,29.03
4.72,200,104.94,48.52,29.0
4.82,200,106.95,48.81,29.1
4.92,200,108.39,49.77,29.17
5.02,200,108.41,50.28,29.17
5.12,200,112.34,50.35,29.37
5.22,200,113.24,51.75,29.41
5.32,200,111.82,51.75,29.34
5.42,200,113.94,52.33,29.45
5.52,200,113.51,51.12,29.43
5.62,200,118.27,54.06,29.66
5.72,200,118.2,53.41,29.66
5.82,200,117.08,51.96,29.6
5.92,200,118.66,53.85,29.68
6.02,200,116.47,52.19,29.57
6.12,200,117.42,52.78,29.62
6.22,200,124.04,54.09,29.95
6.32,200,122.5,54.91,29.88
6.42,200,124.16,54.13,29.96
6.52,200,122.71,53.31,29.89
6.62,200,127.88,55.49,30.14
6.72,200,129.42,56.76,30.22
6.82,200,126.96,55.33,30.1
6.92,200,130.8,56.81,30.29
7.02,200,130.72,55.89,30.29
7.12,200,132.91,56.94,30.4
7.22,200,127.5,55.44,30.12
7.32,200,133.79,58.69,30.44
7.42,200,133.1,56.76,30.4
7.53,200,138.98,59.27,30.7
7.63,200,135.09,57.49,30.5
7.73,200,134.46,58.58,30.47
7.83,200,136.79,58.27,30.59
7.93,200,137.15,59.43,30.61
8.03,200,137.82,59.16,30.64
8.13,200,140.36,59.73,30.77
8.23,200,138.88,59.49,30.69
8.33,200,144.66,60.87,30.98
8.43,200,140.39,58.97,30.77
8.53,200,143.4,60.38,30.92
8.63,200,143.58,60.58,30.93
8.73,200,141.6,60.37,30.83
8.83,200,145.77,61.19,31.04
8.93,200,146.51,61.92,31.08
9.03,200,146.89,61.14,31.09
9.13,200,149.84,62.24,31.24
9.23,200,146.77,60.75,31.09
9.33,200,148.95,61.66,31.2
9.43,200,148.59,62.3,31.18
9.53,200,150.39,63.12,31.27
9.63,200,151.61,62.78,31.33
9.73,200,151.02,62.55,31.3
9.83,200,153.63,63.6,31.43
9.93,200,152.17,63.57,31.36
10.03,200,153.84,63.42,31.44
10.13,200,151.26,63.1,31.31
10.23,200,155.39,64.14,31.52
10.33,200,154.67,63.49,31.48
10.43,200,155.7,64.33,31.54
10.54,200,156.51,64.38,31.58
10.64,200,156.43,64.6,31.57
10.74,200,158.43,64.65,31.67
10.84,200,160.07,65.92,31.75
10.94,200,160.75,65.66,31.79
11.04,200,159.31,64.71,31.72
11.14,200,161.77,64.96,31.84
11.24,200,160.04,65.34,31.75
11.34,200,163.08,66.42,31.9
11.44,200,159.99,64.78,31.75
11.54,200,160.99,65.85,31.8
11.64,200,163.09,66.33,31.9
11.74,200,162.14,66.04,31.86
11.84,200,166.02,66.76,32.05
11.94,200,164.6,67.69,31.98
12.04,200,166.15,67.12,32.06
12.14,200,166.86,67.18,32.09
12.24,200,166.04,68.09,32.05
12.34,200,170.3,67.74,32.27
12.44,200,168.39,68.99,32.17
12.54,200,166.38,67.54,32.07
12.64,200,170.95,68.54,32.3
12.74,200,169.3,68.26,32.22
12.84,200,165.0,67.17,32.0
12.94,200,168.93,68.64,32.2
13.04,200,173.93,70.02,32.45
13.14,200,169.45,68.56,32.22
13.24,200,171.02,69.32,32.3
13.34,200,168.17,67.37,32.16
13.44,200,167.38,68.02,32.12
13.55,200,171.85,68.74,32.34
13.65,200,170.85,68.47,32.29
13.75,200,170.86,68.6,32.29
13.85,200,172.12,69.83,32.36
13.95,200,174.16,69.34,32.46
14.05,200,172.74,69.92,32.39
14.15,200,175.2,70.21,32.51
14.25,200,176.11,71.13,32.56
14.35,200,172.62,68.91,32.38
14.45,200,171.94,69.33,32.35
14.55,200,175.04,69.67,32.5
14.65,200,174.63,70.24,32.48
14.75,200,176.23,70.1,32.56
14.85,200,179.38,70.79,32.72
14.95,200,174.69,71.21,32.48
15.05,200,176.83,70.28,32.59
15.15,200,176.46,70.37,32.57
15.25,200,179.81,71.82,32.74
15.35,200,179.67,71.26,32.73
15.45,200,175.93,70.42,32.55
15.55,200,182.27,72.72,32.86
15.65,200,179.22,71.67,32.71
15.75,200,179.1,71.2,32.71
15.85,200,177.72,70.66,32.64
15.95,200,180.78,71.65,32.79
16.05,200,182.34,73.14,32.87
16.15,200,183.75,72.47,32.94
16.25,200,179.94,71.16,32.75
16.35,200,179.74,71.44,32.74
16.45,200,182.83,72.44,32.89
16.56,200,182.66,72.38,32.88
16.66,200,182.29,71.82,32.86
16.76,200,186.29,73.91,33.06
16.86,200,181.3,71.44,32.81
16.96,200,182.21,72.18,32.86
17.06,200,186.17,73.86,33.06
17.16,200,186.06,73.86,33.05
17.26,200,186.4,73.79,33.07
17.36,200,185.35,73.05,33.02
17.46,200,181.21,71.8,32.81
17.56,200,188.56,73.8,33.18
17.66,200,183.95,73.19,32.95
17.76,200,185.61,72.94,33.03
17.86,200,188.81,74.45,33.19
17.96,200,187.45,73.45,33.12
18.06,200,187.16,73.84,33.11
18.16,200,187.96,74.46,33.15
18.26,200,188.89,74.25,33.19
18.36,200,188.24,73.4,33.16
18.46,200,188.38,74.36,33.17
18.56,200,186.54,73.07,33.08
18.66,200,187.42,73.12,33.12
18.76,200,188.43,74.18,33.17
18.86,200,186.07,73.35,33.05
18.96,200,190.32,75.13,33.27
19.06,200,190.41,74.55,33.27
19.16,200,187.92,73.68,33.15
19.26,200,189.99,75.67,33.25
19.36,200,191.81,75.84,33.34
19.46,200,191.9,74.26,33.35
19.57,200,189.0,73.98,33.2
19.67,200,192.09,75.97,33.35
19.77,200,188.46,74.06,33.17
19.87,200,191.09,74.58,33.3
19.97,200,188.91,73.83,33.2
20.07,200,192.12,74.68,33.36
20.17,200,192.8,75.38,33.39
20.27,200,192.21,75.94,33.36
20.37,200,189.55,73.96,33.23
20.47,200,191.92,74.56,33.35
20.57,200,189.78,74.38,33.24
20.67,200,191.72,74.4,33.34
20.77,200,190.81,75.04,33.29
20.87,200,194.43,74.85,33.47
20.97,200,194.52,76.3,33.48
21.07,200,189.91,73.74,33.25
21.17,200,193.07,75.21,33.4
21.27,200,192.67,75.73,33.38
21.37,200,191.81,75.12,33.34
21.47,200,193.65,76.04,33.43
21.57,200,196.37,77.26,33.57
21.67,200,193.49,75.43,33.42
21.77,200,197.89,77.19,33.64
21.87,200,194.16,75.2,33.46
21.97,200,195.0,75.61,33.5
22.07,200,192.69,74.64,33.38
22.17,200,192.71,75.34,33.39
22.27,200,190.9,74.32,33.29
22.37,200,193.86,75.03,33.44
22.47,200,191.66,74.59,33.33
22.58,200,191.49,75.25,33.32
22.68,200,192.45,75.62,33.37
22.78,200,196.4,75.82,33.57
22.88,200,194.77,75.69,33.49
22.98,200,192.55,75.1,33.38
23.08,200,194.46,76.19,33.47
23.18,200,197.11,76.09,33.61
23.28,200,194.38,76.08,33.47
23.38,200,197.66,75.58,33.63
23.48,200,197.98,76.81,33.65
23.58,200,198.61,76.87,33.68
23.68,200,194.01,75.73,33.45
23.78,200,198.12,76.95,33.66
23.88,200,191.2,75.2,33.31
23.98,200,192.8,74.85,33.39
24.08,200,193.81,74.73,33.44
24.18,200,193.74,75.13,33.44
24.28,200,195.13,76.01,33.51
24.38,200,195.79,75.5,33.54
24.48,200,196.2,76.85,33.56
24.58,200,198.56,77.14,33.68
24.68,200,198.01,77.35,33.65
24.78,200,199.6,78.23,33.73
24.88,200,196.33,76.26,33.57
24.98,200,200.02,78.29,33.75
25.08,200,200.25,76.4,33.76
25.18,200,196.83,74.92,33.59
25.28,200,198.83,77.18,33.69
25.38,200,197.57,76.7,33.63
25.48,200,200.16,77.4,33.76
25.59,200,199.72,77.69,33.74
25.69,200,198.45,77.27,33.67
25.79,200,198.05,76.37,33.65
25.89,200,199.35,77.66,33.72
25.99,200,197.72,77.18,33.64
26.09,200,199.89,76.83,33.74
26.19,200,197.9,76.65,33.64
26.29,200,196.46,76.6,33.57
26.39,200,196.66,76.28,33.58
26.49,200,198.92,77.35,33.7
26.59,200,199.16,78.36,33.71
26.69,200,197.59,76.9,33.63
26.79,200,196.26,76.62,33.56
26.89,200,201.06,78.43,33.8
26.99,200,197.56,76.63,33.63
27.09,200,201.43,77.88,33.82
27.19,200,200.9,77.28,33.8
27.29,200,201.83,78.56,33.84
27.39,200,200.06,77.12,33.75
27.49,200,198.89,77.24,33.69
27.59,200,199.81,77.39,33.74
27.69,200,198.91,77.27,33.7
27.79,200,202.21,77.16,33.86
27.89,200,196.75,75.75,33.59
27.99,200,198.19,76.09,33.66
28.09,200,200.73,77.77,33.79
28.19,200,199.19,76.92,33.71
28.29,200,200.07,77.61,33.75
28.39,200,200.49,77.28,33.77
28.49,200,201.19,77.12,33.81
28.6,200,202.45,76.7,33.87
28.7,200,198.83,76.55,33.69
28.8,200,201.66,77.26,33.83
28.9,200,203.78,77.86,33.94
29.0,200,204.26,79.0,33.96
29.1,200,200.32,77.81,33.77
29.2,200,204.71,79.36,33.99
29.3,200,195.91,76.87,33.55
29.4,200,200.9,76.96,33.79
29.5,200,202.01,77.5,33.85
29.6,200,200.91,77.89,33.8
29.7,200,199.31,77.62,33.72
29.8,200,198.62,77.18,33.68
29.9,200,199.62,77.29,33.73
30.0,200,204.61,78.94,33.98
0.0,400,22.83,24.29,24.89
0.1,400,27.95,25.9,25.15
0.2,400,34.24,27.81,25.46
0.3,400,38.46,28.77,25.67
0.4,400,43.51,31.08,25.93
0.5,400,45.64,31.16,26.03
0.6,400,51.22,33.49,26.31
0.7,400,57.42,34.36,26.62
0.8,400,59.51,34.61,26.73
0.9,400,61.49,35.96,26.82
1.0,400,68.69,38.59,27.18
1.1,400,70.77,38.05,27.29
1.2,400,76.09,40.24,27.55
1.3,400,80.01,41.58,27.75
1.4,400,84.4,43.15,27.97
1.51,400,88.42,43.8,28.17
1.61,400,92.45,44.98,28.37
1.71,400,94.29,46.72,28.46
1.81,400,98.46,46.46,28.67
1.91,400,104.31,49.29,28.97
2.01,400,107.15,49.74,29.11
2.11,400,109.05,50.1,29.2
2.21,400,110.41,51.39,29.27
2.31,400,114.47,51.6,29.47
2.41,400,117.69,53.74,29.63
2.51,400,123.65,54.41,29.93
2.61,400,125.08,55.28,30.0
2.71,400,130.17,55.75,30.26
2.81,400,133.42,57.42,30.42
2.91,400,133.4,57.32,30.42
3.01,400,139.47,60.22,30.72
3.11,400,141.26,60.16,30.81
3.21,400,142.38,60.46,30.87
3.31,400,148.66,61.35,31.18
3.41,400,148.95,62.58,31.2
3.51,400,149.39,62.13,31.22
3.61,400,157.0,63.75,31.6
3.71,400,157.86,64.89,31.64
3.81,400,163.26,65.84,31.91
3.91,400,166.48,67.6,32.07
4.01,400,169.41,68.9,32.22
4.11,400,170.41,68.87,32.27
4.21,400,168.93,67.51,32.2
4.31,400,173.05,69.24,32.4
4.41,400,179.55,70.47,32.73
4.52,400,179.62,70.73,32.73
4.62,400,179.7,72.15,32.74
4.72,400,185.53,73.98,33.03
4.82,400,190.19,74.1,33.26
4.92,400,186.57,74.51,33.08
5.02,400,191.9,74.5,33.34
5.12,400,196.49,76.51,33.57
5.22,400,196.13,76.17,33.56
5.32,400,200.13,77.58,33.76
5.42,400,203.63,78.41,33.93
5.52,400,203.71,78.91,33.94
5.62,400,207.27,80.23,34.11
5.72,400,208.37,79.96,34.17
5.82,400,208.75,80.88,34.19
5.92,400,210.45,80.73,34.27
6.02,400,213.59,81.75,34.43
6.12,400,218.98,82.37,34.7
6.22,400,219.15,82.37,34.71
6.32,400,224.45,84.61,34.97
6.42,400,220.52,83.31,34.78
6.52,400,228.31,86.74,35.17
6.62,400,230.21,86.17,35.26
6.72,400,229.33,87.12,35.22
6.82,400,230.1,86.36,35.26
6.92,400,231.57,86.39,35.33
7.02,400,237.78,89.15,35.64
7.12,400,238.13,89.23,35.66
7.22,400,241.12,90.59,35.81
7.32,400,240.88,89.59,35.79
7.42,400,240.64,90.23,35.78
7.53,400,243.43,89.78,35.92
7.63,400,245.68,91.22,36.03
7.73,400,249.61,92.88,36.23
7.83,400,248.19,91.56,36.16
7.93,400,250.68,92.1,36.28
8.03,400,252.79,93.57,36.39
8.13,400,254.74,93.11,36.49
8.23,400,253.89,94.31,36.44
8.33,400,255.85,94.63,36.54
8.43,400,260.73,95.56,36.79
8.53,400,259.03,95.32,36.7
8.63,400,260.8,95.65,36.79
8.73,400,264.31,96.44,36.97
8.83,400,265.15,96.89,37.01
8.93,400,264.62,96.79,36.98
9.03,400,267.29,96.77,37.11
9.13,400,269.34,98.16,37.22
9.23,400,270.24,97.54,37.26
9.33,400,274.42,100.17,37.47
9.43,400,275.56,100.33,37.53
9.53,400,273.13,99.5,37.41
9.63,400,275.15,101.14,37.51
9.73,400,277.31,101.03,37.62
9.83,400,276.57,99.88,37.58
9.93,400,279.92,101.83,37.75
10.03,400,283.38,102.66,37.92
10.13,400,279.86,102.02,37.74
10.23,400,282.98,103.2,37.9
10.33,400,289.81,104.86,38.24
10.43,400,289.29,103.66,38.21
10.54,400,293.69,105.72,38.43
10.64,400,291.73,104.59,38.34
10.74,400,290.79,104.14,38.29
10.84,400,291.61,104.99,38.33
10.94,400,293.76,106.33,38.44
11.04,400,295.36,106.23,38.52
11.14,400,295.6,107.19,38.53
11.24,400,295.48,106.74,38.52
11.34,400,293.82,105.21,38.44
11.44,400,299.65,107.31,38.73
11.54,400,305.92,110.56,39.05
11.64,400,297.92,106.34,38.65
11.74,400,301.73,108.89,38.84
11.84,400,305.32,109.26,39.02
11.94,400,301.24,107.45,38.81
12.04,400,299.71,106.64,38.74
12.14,400,306.93,109.97,39.1
12.24,400,304.45,108.89,38.97
12.34,400,311.29,110.97,39.31
12.44,400,308.38,110.32,39.17
12.54,400,311.0,110.84,39.3
12.64,400,309.81,110.23,39.24
12.74,400,311.98,110.82,39.35
12.84,400,315.38,112.56,39.52
12.94,400,315.79,113.25,39.54
13.04,400,317.66,113.51,39.63
13.14,400,316.13,112.24,39.56
13.24,400,320.85,113.42,39.79
13.34,400,315.87,111.83,39.54
13.44,400,318.39,113.23,39.67
13.55,400,320.85,113.64,39.79
13.65,400,316.15,112.51,39.56
13.75,400,322.38,114.23,39.87
13.85,400,320.97,114.07,39.8
13.95,400,324.89,114.94,39.99
14.05,400,319.97,113.21,39.75
14.15,400,323.26,113.58,39.91
14.25,400,325.89,114.89,40.04
14.35,400,326.13,115.44,40.06
14.45,400,325.23,115.89,40.01
14.55,400,325.47,114.81,40.02
14.65,400,327.9,116.29,40.15
14.75,400,328.03,115.42,40.15
14.85,400,330.13,116.84,40.26
14.95,400,333.6,117.47,40.43
15.05,400,330.57,116.39,40.28
15.15,400,327.85,115.89,40.14
15.25,400,333.2,116.95,40.41
15.35,400,330.81,116.16,40.29
15.45,400,335.5,117.84,40.53
15.55,400,334.63,117.46,40.48
15.65,400,334.27,117.47,40.46
15.75,400,330.05,116.56,40.25
15.85,400,336.43,117.39,40.57
15.95,400,335.64,117.98,40.53
16.05,400,334.45,117.71,40.47
16.15,400,333.33,117.62,40.42
16.25,400,340.18,118.92,40.76
16.35,400,338.26,119.69,40.66
16.45,400,339.22,119.01,40.71
16.56,400,337.72,118.91,40.64
16.66,400,339.85,119.77,40.74
16.76,400,337.63,119.33,40.63
16.86,400,340.42,119.95,40.77
16.96,400,340.32,118.95,40.77
17.06,400,341.17,119.38,40.81
17.16,400,342.09,120.45,40.85
17.26,400,345.52,121.26,41.03
