timestamp_s,laser_power_w,T1_cut_zone_c,Fx_n,Fy_n,Fz_n
3.377,0,25.0,449.69,239.49,637.17
3.387,0,25.0,440.54,249.62,639.41
3.397,0,25.0,442.06,231.0,642.35
3.407,0,25.0,434.54,239.54,645.43
3.417,0,25.0,439.0,242.86,639.1
3.427,0,25.0,438.66,241.11,644.33
3.437,0,25.0,440.39,239.92,636.17
3.447,0,25.0,433.27,240.51,639.27
3.457,0,25.0,441.07,244.13,643.26
3.467,0,25.0,436.48,241.01,641.1
3.477,0,25.0,439.0,231.0,636.77
3.487,0,25.0,439.59,242.98,638.72
3.497,0,25.0,434.39,245.39,639.8
3.507,0,25.0,438.12,242.07,642.7
3.517,0,25.0,439.62,237.6,637.66
3.527,0,25.0,443.1,239.37,641.9
3.537,0,25.0,432.29,237.94,638.38
3.547,0,25.0,438.02,232.13,638.12
3.557,0,25.0,446.17,241.11,637.79
3.567,0,25.0,437.02,234.47,640.79
3.577,0,25.0,436.75,238.29,643.43
3.587,0,25.0,443.64,242.34,633.25
3.597,0,25.0,437.61,244.57,635.13
3.607,0,25.0,444.87,239.75,643.64
3.617,0,25.0,438.19,235.19,635.79
3.627,0,25.0,445.67,238.55,634.95
3.637,0,25.0,443.1,233.67,639.19
3.647,0,25.0,441.19,241.01,641.53
3.657,0,25.0,439.48,229.99,640.81
3.667,0,25.0,439.65,239.03,641.79
3.677,0,25.0,442.9,240.68,645.83
3.687,0,25.0,448.6,240.97,638.43
3.697,0,25.0,434.64,242.13,632.71
3.707,0,25.0,446.57,243.74,637.72
3.717,0,25.0,442.55,236.34,635.41
3.727,0,25.0,442.88,235.75,640.8
3.737,0,25.0,439.31,246.07,641.08
3.747,0,25.0,446.14,243.28,636.74
3.758,0,25.0,435.15,231.37,639.95
3.768,0,25.0,428.68,236.52,630.16
3.778,0,25.0,437.31,242.62,636.29
3.788,0,25.0,437.58,237.96,640.87
3.798,0,25.0,433.86,240.22,639.37
3.808,0,25.0,435.64,235.84,644.61
3.818,0,25.0,442.66,241.48,636.42
3.828,0,25.0,438.38,234.55,632.7
3.838,0,25.0,437.86,237.35,634.75
3.848,0,25.0,434.85,241.21,637.87
3.858,0,25.0,433.41,247.89,632.76
3.868,0,25.0,440.57,235.7,642.42
3.878,0,25.0,440.0,243.78,639.44
3.888,0,25.0,436.69,245.49,639.48
3.898,0,25.0,438.87,239.1,636.8
3.908,0,25.0,441.12,246.42,645.69
3.918,0,25.0,440.9,242.29,642.7
3.928,0,25.0,437.16,245.67,640.71
3.938,0,25.0,432.44,242.17,636.05
3.948,0,25.0,440.91,242.41,638.46
3.958,0,25.0,440.8,245.1,634.18
3.968,0,25.0,432.16,239.21,638.73
3.978,0,25.0,448.0,243.67,641.79
3.988,0,25.0,439.28,231.94,634.38
3.998,0,25.0,438.36,240.4,637.95
4.008,0,25.0,440.1,242.45,636.8
4.018,0,25.0,437.94,235.76,644.47
4.028,0,25.0,431.54,242.02,642.7
4.038,0,25.0,431.5,237.68,643.94
4.048,0,25.0,435.99,237.29,639.43
4.058,0,25.0,444.86,242.07,636.85
4.068,0,25.0,434.08,233.55,640.92
4.078,0,25.0,430.89,237.25,641.93
4.088,0,25.0,434.75,238.26,639.1
4.098,0,25.0,442.56,234.15,639.82
4.108,0,25.0,439.32,239.95,633.24
4.118,0,25.0,441.57,236.17,639.08
4.128,0,25.0,436.15,247.3,639.77
4.138,0,25.0,448.11,237.05,638.44
4.148,0,25.0,445.45,238.09,641.33
4.158,0,25.0,444.17,238.08,636.86
4.168,0,25.0,438.58,243.62,641.29
4.178,0,25.0,444.73,238.52,637.67
4.188,0,25.0,435.07,238.38,637.21
4.198,0,25.0,439.1,235.82,636.72
4.208,0,25.0,438.33,243.44,638.24
4.218,0,25.0,437.29,243.68,644.96
4.228,0,25.0,438.39,238.55,632.34
4.238,0,25.0,433.36,239.39,645.12
4.248,0,25.0,446.95,242.88,637.65
4.259,0,25.0,441.64,233.73,639.27
4.269,0,25.0,434.87,239.61,645.33
4.279,0,25.0,448.3,240.46,641.18
4.289,0,25.0,432.98,236.99,645.68
4.299,0,25.0,444.25,242.94,641.4
4.309,0,25.0,446.18,238.58,638.85
4.319,0,25.0,450.84,236.18,641.41
4.329,0,25.0,438.11,245.6,638.56
4.339,0,25.0,438.24,238.37,642.84
4.349,0,25.0,435.6,233.69,639.13
4.359,0,25.0,438.19,241.77,638.23
4.369,0,25.0,437.19,240.76,641.33
4.379,0,25.0,443.7,239.88,632.37
4.389,0,25.0,439.43,239.65,639.22
4.399,0,25.0,441.75,238.49,644.08
4.409,0,25.0,438.45,245.23,635.18
4.419,0,25.0,430.19,235.77,651.02
4.429,0,25.0,438.59,239.18,640.72
4.439,0,25.0,437.93,240.7,640.14
4.449,0,25.0,447.93,244.47,640.76
4.459,0,25.0,442.47,242.11,635.36
4.469,0,25.0,444.18,237.16,642.88
4.479,0,25.0,440.28,243.35,645.42
4.489,0,25.0,442.07,237.79,638.47
4.499,0,25.0,442.0,238.06,638.19
4.509,0,25.0,439.25,238.3,641.83
4.519,0,25.0,437.93,240.11,636.81
4.529,0,25.0,432.79,242.93,643.65
4.539,0,25.0,437.74,242.96,640.99
4.549,0,25.0,435.1,244.48,631.77
4.559,0,25.0,439.53,242.64,635.33
4.569,0,25.0,446.19,237.41,644.79
4.579,0,25.0,439.02,242.53,639.58
4.589,0,25.0,449.3,241.45,643.93
4.599,0,25.0,442.73,240.62,638.83
4.609,0,25.0,441.5,243.85,643.52
4.619,0,25.0,442.08,239.37,642.75
4.629,0,25.0,435.96,239.85,631.76
4.639,0,25.0,437.21,239.33,634.31
4.649,0,25.0,435.38,243.74,642.0
4.659,0,25.0,444.37,244.7,642.6
4.669,0,25.0,443.23,241.23,645.19
4.679,0,25.0,433.94,239.37,644.21
4.689,0,25.0,443.44,240.34,638.76
4.699,0,25.0,443.44,239.41,635.59
4.709,0,25.0,444.74,238.56,640.82
4.719,0,25.0,433.59,229.83,641.88
4.729,0,25.0,446.72,230.95,638.02
4.739,0,25.0,442.32,240.84,640.32
4.749,0,25.0,439.95,236.22,644.47
4.76,0,25.0,443.93,241.54,630.89
4.77,0,25.0,446.8,239.86,642.18
4.78,0,25.0,447.78,245.32,639.72
4.79,0,25.0,444.37,242.48,637.75
4.8,0,25.0,440.62,233.01,633.79
4.81,0,25.0,440.87,245.75,636.16
4.82,0,25.0,444.91,240.7,647.3
4.83,0,25.0,438.67,251.96,641.92
4.84,0,25.0,439.17,241.13,632.77
4.85,0,25.0,441.51,238.84,642.13
4.86,0,25.0,438.81,229.21,629.65
4.87,0,25.0,437.46,235.0,643.6
4.88,0,25.0,435.74,241.85,639.39
4.89,0,25.0,446.26,240.41,640.85
4.9,0,25.0,435.97,241.54,642.73
4.91,0,25.0,439.56,242.88,635.85
4.92,0,25.0,439.14,241.66,638.77
4.93,0,25.0,444.95,242.6,637.55
4.94,0,25.0,436.29,239.99,637.11
4.95,0,25.0,438.43,235.51,643.13
4.96,0,25.0,440.71,241.23,643.32
4.97,0,25.0,430.81,240.18,639.05
4.98,0,25.0,442.76,242.06,642.13
4.99,0,25.0,445.24,232.52,635.75
5.0,0,25.0,444.9,245.82,636.76
0.0,400,385.0,374.27,197.91,538.04
0.01,400,385.0,368.19,207.02,537.91
0.02,400,385.0,368.28,197.96,536.84
0.03,400,385.0,378.66,200.37,541.15
0.04,400,385.0,362.22,191.18,523.66
0.05,400,385.0,367.39,199.91,543.38
0.06,400,385.0,370.42,199.48,542.54
0.07,400,385.0,368.07,200.14,544.76
0.08,400,385.0,365.12,200.68,536.71
0.09,400,385.0,371.92,202.27,533.84
0.1,400,385.0,370.84,202.03,536.96
0.11,400,385.0,370.78,199.25,530.62
0.12,400,385.0,369.16,201.1,540.27
0.13,400,385.0,365.95,196.0,536.98
0.14,400,385.0,366.52,193.36,524.45
0.15,400,385.0,368.46,200.04,530.16
0.16,400,385.0,365.79,197.82,528.66
0.17,400,385.0,364.7,202.05,533.92
0.18,400,385.0,371.94,197.73,542.65
0.19,400,385.0,366.51,189.95,531.35
0.2,400,385.0,365.6,201.41,536.85
0.21,400,385.0,363.9,201.63,535.09
0.22,400,385.0,359.87,195.6,535.3
0.23,400,385.0,360.13,199.07,532.69
0.24,400,385.0,370.85,202.74,534.73
0.251,400,385.0,358.83,201.31,519.93
0.261,400,385.0,365.22,197.54,538.97
0.271,400,385.0,363.15,194.65,529.86
0.281,400,385.0,365.14,203.65,539.59
0.291,400,385.0,362.13,204.68,534.05
0.301,400,385.0,364.48,196.17,529.48
0.311,400,385.0,364.75,201.0,528.79
0.321,400,385.0,370.23,205.46,533.39
0.331,400,385.0,367.22,200.77,535.58
0.341,400,385.0,370.27,203.37,536.97
0.351,400,385.0,364.19,203.29,535.44
0.361,400,385.0,369.93,201.97,548.77
0.371,400,385.0,365.88,204.63,540.51
0.381,400,385.0,364.64,196.51,530.06
0.391,400,385.0,360.13,197.2,526.58
0.401,400,385.0,372.89,200.91,536.27
0.411,400,385.0,368.73,208.02,528.15
0.421,400,385.0,354.66,196.88,523.68
0.431,400,385.0,365.14,198.11,532.73
0.441,400,385.0,366.54,211.63,548.03
0.451,400,385.0,367.38,199.36,533.64
0.461,400,385.0,371.25,197.67,538.32
0.471,400,385.0,363.52,201.41,528.78
0.481,400,385.0,369.13,201.06,531.31
0.491,400,385.0,369.37,208.59,532.92
0.501,400,385.0,369.45,201.25,545.26
0.511,400,385.0,369.21,200.34,530.16
0.521,400,385.0,364.79,199.01,538.96
0.531,400,385.0,362.97,207.45,537.7
0.541,400,385.0,375.65,199.25,539.87
0.551,400,385.0,365.41,198.94,533.56
0.561,400,385.0,374.04,203.57,544.31
0.571,400,385.0,358.76,196.79,522.68
0.581,400,385.0,372.96,207.78,541.04
0.591,400,385.0,370.1,200.86,539.54
0.601,400,385.0,366.32,204.65,536.31
0.611,400,385.0,358.61,200.44,528.26
0.621,400,385.0,367.77,200.57,538.14
0.631,400,385.0,362.43,193.62,526.32
0.641,400,385.0,374.69,206.87,537.94
0.651,400,385.0,365.3,203.56,526.1
0.661,400,385.0,371.73,194.09,541.59
0.671,400,385.0,376.56,207.71,545.51
0.681,400,385.0,353.27,193.44,523.84
0.691,400,385.0,360.82,200.86,533.53
0.701,400,385.0,357.46,196.57,524.36
0.711,400,385.0,368.12,197.87,522.65
0.721,400,385.0,361.06,192.56,525.43
0.731,400,385.0,368.4,202.33,533.69
0.741,400,385.0,359.75,203.09,534.38
0.752,400,385.0,376.88,197.31,552.91
0.762,400,385.0,360.71,198.65,534.4
0.772,400,385.0,373.01,204.93,545.26
0.782,400,385.0,363.06,198.48,530.34
0.792,400,385.0,364.53,204.02,541.01
0.802,400,385.0,370.9,201.76,541.75
0.812,400,385.0,363.06,196.88,528.75
0.822,400,385.0,361.3,195.57,526.02
0.832,400,385.0,365.27,198.54,526.58
0.842,400,385.0,365.18,197.21,527.75
0.852,400,385.0,366.99,203.67,531.73
0.862,400,385.0,365.11,198.18,532.19
0.872,400,385.0,375.08,205.27,537.89
0.882,400,385.0,365.22,203.73,532.3
0.892,400,385.0,360.5,200.99,526.5
0.902,400,385.0,359.69,196.01,522.33
0.912,400,385.0,372.48,203.55,539.46
0.922,400,385.0,357.25,192.19,531.07
0.932,400,385.0,370.21,199.31,540.47
0.942,400,385.0,367.1,199.02,530.01
0.952,400,385.0,364.75,203.64,534.51
0.962,400,385.0,368.02,199.65,533.62
0.972,400,385.0,371.77,197.32,542.25
0.982,400,385.0,363.5,207.78,530.49
0.992,400,385.0,364.65,204.2,525.0
1.002,400,385.0,363.15,206.22,542.97
1.012,400,385.0,367.78,205.98,546.13
1.022,400,385.0,366.92,205.76,531.05
1.032,400,385.0,365.99,200.16,536.27
1.042,400,385.0,363.0,195.35,532.85
1.052,400,385.0,372.17,203.33,531.98
1.062,400,385.0,367.09,205.83,536.14
1.072,400,385.0,364.33,203.03,532.26
1.082,400,385.0,381.35,201.83,548.72
1.092,400,385.0,373.77,204.51,540.58
1.102,400,385.0,356.68,199.93,523.88
1.112,400,385.0,369.49,194.1,527.99
1.122,400,385.0,367.27,200.26,540.86
1.132,400,385.0,366.08,200.77,526.97
1.142,400,385.0,375.0,201.95,547.28
1.152,400,385.0,361.52,194.38,528.38
1.162,400,385.0,365.33,196.59,530.96
1.172,400,385.0,370.1,202.42,536.68
1.182,400,385.0,357.56,199.79,525.0
1.192,400,385.0,368.24,200.79,535.88
1.202,400,385.0,365.98,202.47,540.71
1.212,400,385.0,373.75,200.91,537.96
1.222,400,385.0,375.73,204.89,547.42
1.232,400,385.0,363.51,199.98,529.17
1.242,400,385.0,374.17,206.28,539.3
1.253,400,385.0,367.02,201.98,535.6
1.263,400,385.0,369.1,207.25,534.16
1.273,400,385.0,368.77,203.89,531.2
1.283,400,385.0,363.85,203.82,538.61
1.293,400,385.0,376.07,210.97,545.23
1.303,400,385.0,364.45,195.89,530.79
1.313,400,385.0,366.13,202.86,543.77
